batter,total_runs,balls_faced,strike_rate,matches,batting_avg,fours,sixes,debut_year,last_year
V Kohli,9228.0,7060,130.7,273,41.8,833.0,313.0,2008,2026
RG Sharma,7331.0,5659,129.5,275,31.3,661.0,324.0,2008,2026
S Dhawan,6769.0,5483,123.5,221,38.5,768.0,153.0,2008,2024
DA Warner,6567.0,4849,135.4,184,42.6,663.0,236.0,2009,2024
KL Rahul,5828.0,4302,135.5,149,47.0,509.0,239.0,2013,2026
SK Raina,5536.0,4177,132.5,200,35.5,506.0,204.0,2008,2021
MS Dhoni,5439.0,4101,132.6,241,41.2,375.0,264.0,2008,2025
AM Rahane,5367.0,4391,122.2,197,31.6,540.0,141.0,2008,2026
SV Samson,5181.0,3770,137.4,185,33.6,432.0,243.0,2013,2026
AB de Villiers,5181.0,3487,148.6,170,44.7,414.0,253.0,2008,2021
CH Gayle,4997.0,3516,142.1,141,40.3,408.0,359.0,2009,2021
RV Uthappa,4954.0,3927,126.2,197,29.0,481.0,182.0,2008,2022
KD Karthik,4843.0,3687,131.4,233,28.7,466.0,161.0,2008,2024
F du Plessis,4773.0,3605,132.4,147,38.5,440.0,174.0,2012,2025
JC Buttler,4590.0,3165,145.0,133,41.4,454.0,209.0,2016,2026
SA Yadav,4581.0,3154,145.2,164,35.0,482.0,178.0,2012,2026
Shubman Gill,4482.0,3265,137.3,127,44.4,429.0,149.0,2018,2026
AT Rayudu,4348.0,3490,124.6,185,31.3,359.0,173.0,2010,2023
SS Iyer,4233.0,3211,131.8,144,36.8,354.0,182.0,2015,2026
G Gambhir,4217.0,3524,119.7,151,35.1,492.0,59.0,2008,2018
