
=== Powerplay Top Bowlers ===
         bowler  balls  economy  wickets  dot_pct
     AG Murtaza     79     3.95      2.0     59.5
     FH Edwards     82     4.46      3.0     61.0
       A Kumble    109     4.95      3.0     58.7
SMSM Senanayake    129     5.16      4.0     43.4
         MM Ali     96     5.56      5.0     49.0
      A Symonds    118     5.59      4.0     52.5
      HF Gurney     70     5.66      2.0     40.0
Arjun Tendulkar     60     5.70      1.0     45.0
     T Thushara     63     5.71      3.0     47.6
     GD McGrath    226     5.79      8.0     56.2
=== Middle Top Bowlers ===
          bowler  balls  economy  wickets  dot_pct
           B Lee     82     5.93      4.0     37.8
RE van der Merwe    319     6.06     11.0     36.4
  AD Mascarenhas    115     6.10      5.0     33.0
        MM Patel    398     6.14     22.0     39.2
         J Yadav    214     6.17      4.0     37.4
     MF Maharoof    160     6.19      9.0     35.6
         B Akhil    136     6.22      4.0     34.6
       MJ Clarke     60     6.30      2.0     35.0
         J Botha    405     6.30     13.0     35.1
       SB Styris    111     6.38      1.0     39.6
=== Death Top Bowlers ===
       bowler  balls  economy  wickets  dot_pct
Sohail Tanvir    107     6.84     16.0     35.5
    SP Narine   1128     7.26     84.0     36.6
 DE Bollinger    242     7.36     23.0     36.4
     A Kumble    174     7.48     17.0     33.3
    VY Mahesh     64     7.59     10.0     45.3
      J Botha    108     7.67      8.0     32.4
   SL Malinga   1174     7.80    108.0     29.8
      GB Hogg     93     7.81      7.0     38.7
Harmeet Singh    135     7.91     10.0     34.1
     R Ashwin    626     7.99     36.0     28.4
