=== Top Chase Specialists (sorted by SR uplift when chasing) ===

           batter  sr_1st  sr_2nd  sr_uplift  runs_2nd  total_matches
       PJ Cummins   128.8   175.1       46.3     310.0             50
           JJ Roy   113.3   155.5       42.2     342.0             21
      PC Valthaty    97.6   135.1       37.5     300.0             23
   LS Livingstone   136.2   167.2       31.0     423.0             49
        BA Stokes   114.7   141.7       27.0     584.0             43
         DR Smith   120.9   144.0       23.1    1280.0             88
      LRPL Taylor   105.1   128.0       22.9     709.0             54
       SO Hetmyer   131.5   152.1       20.6     779.0             85
          M Vohra   116.8   135.9       19.1     534.0             51
     AC Gilchrist   123.6   142.2       18.6    1126.0             80
        YK Pathan   127.8   145.3       17.5    1879.0            153
Washington Sundar   119.9   137.2       17.3     435.0             56
         V Sehwag   140.3   157.5       17.2    1427.0            104
        JA Morkel   129.7   146.2       16.5     459.0             67
        CH Morris   141.5   157.3       15.8     335.0             49
      SW Billings   119.0   134.8       15.8     240.0             27
     RD Rickelton   155.6   170.6       15.0     430.0             26
  M Shahrukh Khan   135.6   149.3       13.7     303.0             53
         TH David   160.9   173.9       13.0     534.0             57
    ST Jayasuriya   129.0   141.8       12.8     319.0             30

=== Top 1st Innings Setters ===

         batter  sr_1st  sr_2nd  sr_uplift  runs_1st  total_matches
  Priyansh Arya   192.2   173.1      -19.1     594.0             31
     AD Russell   166.0   159.8       -6.2    1521.0            114
        PD Salt   165.5   171.6        6.1     594.0             40
Abhishek Sharma   164.1   159.7       -4.4    1239.0             88
      H Klaasen   163.5   150.9      -12.6    1437.0             59
        TM Head   161.4   164.0        2.6    1170.0             51
       TH David   160.9   173.9       13.0     589.0             57
 AB de Villiers   158.4   134.9      -23.5    3163.0            170
     RM Patidar   157.4   142.6      -14.8    1012.0             50
     Naman Dhir   156.0   166.1       10.1     426.0             33
   RD Rickelton   155.6   170.6       15.0     406.0             26
 P Simran Singh   153.0   152.8       -0.2     959.0             65
       N Pooran   152.0   159.0        7.0    1277.0            100
       T Stubbs   151.9   143.5       -8.4     436.0             43
        SN Khan   151.1   109.3      -41.8     500.0             43
